"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","19,136","19,136","1,073","1,097","2,250","3,570","3,084","3,024","2,689","1,460","779","109","1"
"서울특별시 용산구 서빙고동(1117069000)","12,544","12,544","692","1,381","1,605","1,418","2,227","2,184","1,599","728","608","97","5"
"서울특별시 용산구 보광동(1117070000)","12,488","12,488","311","616","1,813","1,995","1,688","2,234","2,071","1,080","595","82","3"
"서울특별시 성동구 (1120000000)","279,374","279,374","17,448","18,481","41,619","45,511","41,561","44,701","38,456","20,211","10,115","1,226","45"
"서울특별시 성동구 왕십리제2동(1120052000)","16,204","16,204","1,128","1,082","2,227","2,767","2,407","2,626","2,224","1,143","523","76","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,405","26,405","2,008","1,679","4,127","4,403","3,964","4,315","3,268","1,631","876","131","3"
"서울특별시 성동구 마장동(1120054000)","21,864","21,864","1,015","1,479","4,152","3,179","2,701","3,460","3,169","1,710","895","103","1"
"서울특별시 성동구 사근동(1120055000)","12,046","12,046","344","843","4,872","1,596","1,050","1,263","981","678","392","27","0"
"서울특별시 성동구 행당제1동(1120056000)","13,711","13,711","869","996","2,147","2,208","2,061","2,190","1,748","937","479","68","8"
"서울특별시 성동구 행당제2동(1120057000)","22,986","22,986","1,579","1,905","2,666","3,421","3,636","3,978","3,042","1,772","880","104","3"
"서울특별시 성동구 응봉동(1120058000)","14,957","14,957","986","1,540","1,693","2,011","2,641","2,474","1,835","1,107","601","67","2"
"서울특별시 성동구 금호1가동(1120059000)","14,937","14,937","1,110","1,070","1,573","2,324","2,527","2,337","2,180","1,159","587","68","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,053","22,053","1,579","1,309","2,515","3,808","3,584","3,528","3,069","1,680","866","108","7"
"서울특별시 성동구 금호4가동(1120062000)","14,277","14,277","1,226","937","1,360","2,367","2,613","2,143","1,955","1,084","524","64","4"
"서울특별시 성동구 옥수동(1120064500)","25,443","25,443","2,315","1,629","2,492","4,523","4,423","3,845","3,396","1,790","898","128","4"
"서울특별시 성동구 성수1가제1동(1120065000)","15,589","15,589","892","945","2,225","2,824","2,103","2,793","2,392","933","431","48","3"
"서울특별시 성동구 성수1가제2동(1120066000)","12,078","12,078","603","775","1,794","2,320","1,784","1,856","1,659","846","395","46","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,847","14,847","617","754","1,921","2,452","1,928","2,615","2,751","1,199","552","56","2"
"서울특별시 성동구 성수2가제3동(1120069000)","10,208","10,208","476","491","1,722","1,831","1,362","1,608","1,490","796","388","42","2"
"서울특별시 성동구 송정동(1120072000)","9,908","9,908","413","496","1,523","1,558","1,350","1,741","1,691","782","318","35","1"
"서울특별시 성동구 용답동(1120079000)","11,861","11,861","288","551","2,610","1,919","1,427","1,929","1,606","964","510","55","2"
"서울특별시 광진구 (1121500000)","336,169","336,169","15,722","24,146","59,603","54,769","48,552","52,830","45,320","23,120","10,728","1,337","42"
"서울특별시 광진구 화양동(1121571000)","23,428","23,428","309","749","10,282","4,772","2,068","1,983","1,694","1,017","493","60","1"
"서울특별시 광진구 군자동(1121573000)","19,290","19,290","676","986","4,287","3,551","2,520","2,636","2,557","1,349","659","67","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,361","15,361","589","683","2,889","3,034","1,958","2,339","2,182","1,121","505","59","2"
"서울특별시 광진구 중곡제2동(1121575000)","20,776","20,776","863","1,249","3,394","3,724","2,873","3,373","3,052","1,557","618","69","4"
"서울특별시 광진구 중곡제3동(1121576000)","15,863","15,863","620","846","2,401","2,757","2,096","2,700","2,474","1,338","578","53","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,778","27,778","1,082","1,681","4,046","4,051","3,630","5,079","4,684","2,400","1,020","101","4"
"서울특별시 광진구 능동(1121578000)","11,172","11,172","476","509","2,257","2,478","1,626","1,413","1,311","715","353","33","1"
"서울특별시 광진구 광장동(1121581000)","34,038","34,038","2,502","5,404","3,877","3,318","6,910","6,009","3,413","1,545","891","163","6"
"서울특별시 광진구 자양제1동(1121582000)","22,105","22,105","779","1,418","3,977","3,831","3,222","3,394","3,057","1,582","759","85","1"
"서울특별시 광진구 자양제2동(1121583000)","23,741","23,741","1,286","1,695","3,248","3,643","3,634","3,925","3,684","1,812","717","95","2"
"서울특별시 광진구 자양제3동(1121584000)","27,390","27,390","1,988","2,461","3,512","3,835","4,276","4,610","3,829","1,743","965","165","6"
"서울특별시 광진구 자양제4동(1121584700)","17,950","17,950","618","756","3,001","2,992","2,245","2,807","3,054","1,658","738","80","1"
"서울특별시 광진구 구의제1동(1121585000)","23,398","23,398","887","1,226","4,844","4,645","3,290","3,447","2,858","1,419","689","90","3"
"서울특별시 광진구 구의제2동(1121586000)","25,838","25,838","1,408","2,166","3,383","3,638","4,054","4,467","3,730","2,017","874","96","5"
"서울특별시 광진구 구의제3동(1121587000)","28,041","28,041","1,639","2,317","4,205","4,500","4,150","4,648","3,741","1,847","869","121","4"
"서울특별시 동대문구 (1123000000)","338,115","338,115","18,243","22,922","56,653","48,688","48,069","51,825","48,264","27,982","13,791","1,622","56"
"서울특별시 동대문구 용신동(1123053600)","36,496","36,496","1,830","1,792","6,829","6,666","5,123","5,234","4,853","2,613","1,398","152","6"
"서울특별시 동대문구 제기동(1123054500)","23,983","23,983","859","1,271","4,495","3,100","2,736","3,617","3,856","2,536","1,348","158","7"
"서울특별시 동대문구 전농제1동(1123056000)","28,591","28,591","1,576","1,784","4,419","3,949","3,956","4,689","4,390","2,433","1,251","138","6"
"서울특별시 동대문구 전농제2동(1123057000)","18,129","18,129","1,015","1,619","2,015","2,080","2,745","3,171","2,893","1,608","893","87","3"
